날짜,종목명,NET
2025-10-07,SPDR SP 500 ETF TRUST,2702515
2025-10-07,DIREXION DAILY TSLA BULL 2X SHARES,152663347
2025-10-07,TESLA INC,38107338
2025-10-07,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,109629079
2025-10-07,PALANTIR TECHNOLOGIES INC CL A,97461415
2025-10-07,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,6505225
2025-10-07,DIREXION DAILY PLTR BULL 2X SHARES,44545569
2025-10-07,IONQ INC,-18388725
2025-10-07,RIGETTI COMPUTING INC MRGR 008989411 KYG8T86C1136,10137416
2025-10-07,APPLE INC,-8960235
2025-10-07,QUANTUM COMPUTING INC,-36637533
2025-10-07,VOLATILITY SHARES TRUST 2X ETHER ETF NEW SPLR 974476707 US92864M4006,-12351037
2025-10-07,NVIDIA CORP,932170
2025-10-07,BITMINE IMMERSION TECHNOLOGI,4340980
2025-10-07,IRIS ENERGY LTD,-9351442
2025-10-07,PLUG POWER INC,-10413331
2025-10-07,Circle Internet,-7490035
2025-10-07,INVESCO QQQ TRUST SRS 1 ETF,4991491
2025-10-07,DWAVE QUANTUM INC COM USD0.0001 MRGR 009473716 US23344P1012,-236438
2025-10-07,META PLATFORMS INC CL A,10758065
2025-10-07,GNTSH 2XPLTR ETF,11408074
2025-10-07,INVESTMENT MANAGERS SERIES TRUST II TRADR 2X SHORT,-18148571
2025-10-07,BROADCOM INC EXOF 005644980 SG9999014823,10382674
2025-10-07,UNITEDHEALTH GROUP INC,11944401
2025-10-07,DEFIANCE DAILY TARGET 2X LONG IONQ ETF,-7296533
2025-10-07,DIREXION SEMICONDUCTOR BEAR 3X ETF,-2630687
2025-10-07,PROSHARES ULTRAPRO QQQ ETF,6760553
2025-10-07,NUSCALE POWER CORP CL A MRGR 009185329 KYG8377A1085,-3124602
2025-10-07,T-REX 2X LONG BMNR DAILY TARGET ETF,13354482
2025-10-07,MICRON TECHNOLOGY INC,11996573
2025-10-07,ROCKET LAB CORPORATION COM USD0.0001 MRGR 978814817 US7731221062,-13155874
2025-10-07,2X BITCOIN STRATEGY ETF,-10586149
2025-10-07,GRANITESHARES 2.0X LONG NVDA DAILY ETF,-8599673
2025-10-07,TIDAL TRUST II DEFIANCE DAILY TARGET 1.75X LNG MSTR ETF,-12431
2025-10-07,FERMI INC,5311734
2025-10-07,ALTC ACQUISITION CORP,4651759
2025-10-07,ALPHABET INC CL A,3309728
2025-10-07,SEALSQ CR WI ORD,-6193513
2025-10-07,AMAZON.COM INC,2767253
2025-10-07,JOBY AVIATION INC EXOF 008448244 KYG7483N1117,-7369288
2025-10-07,PAGAYA TECHNOLOGIES LTD PAGAYA TECHNOLOGIES LTD -A MRGR 009359778 KYG2955B1095,9278912
2025-10-07,GRNTSHR 2X ETF,-6558583
2025-10-07,T-REX 2X LONG TESLA DAILY TARGET ETF,1456320
2025-10-07,BLOOM ENERGY CORP CL A,-7078775
2025-10-07,OPENDOOR TECHNOLOGIES INC,2208456
2025-10-07,INVESCO NASDAQ 100 ETF,5879584
2025-10-07,ORACLE CORP,1945411
2025-10-07,MICROSOFT CORP,-4487583
2025-10-07,ROBLOX CORP CL A,4618247
2025-10-07,DEFIANCE DAILY TARGET 2X LONG RKLB ETF,-8736460
